solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,act_tol,removal_method
10,iterative,auto,warm,1,0.0,True,21,100,0.5,0.2,fixed,1000,1000,1000,930.0,1,,4950,5027,24.328243632000518,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,22,100,0.5,0.2,fixed,1000,1000,1000,936.0,1,,4950,5091,27.22544196200033,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,23,100,0.5,0.2,fixed,1000,1000,1000,906.0,1,,4950,5185,31.65385489599976,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,24,100,0.5,0.2,fixed,1000,1000,1000,896.0,1,,4950,5289,34.40451814500011,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,25,100,0.5,0.2,fixed,1000,1000,1000,954.0,1,,4950,5335,37.27422675300113,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,26,100,0.5,0.2,fixed,1000,1000,1000,946.0,1,,4950,5389,39.11247521299993,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,27,100,0.5,0.2,fixed,1000,1000,1000,952.0,1,,4950,5437,40.97832618700159,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,28,100,0.5,0.2,fixed,1000,1000,1000,953.0,1,,4950,5484,40.49206631099878,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,29,100,0.5,0.2,fixed,1000,1000,1000,981.0,1,,4950,5503,40.537916995999694,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,30,100,0.5,0.2,fixed,1000,1000,1000,969.0,1,,4950,5534,46.202443727001075,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,31,100,0.5,0.2,fixed,1000,1000,1000,987.0,1,,4950,5547,37.37121046799985,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,32,100,0.5,0.2,fixed,1000,1000,1000,1016.0,1,,4950,5531,32.168858782000825,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,33,100,0.5,0.2,fixed,1000,1000,1000,1021.0,1,,4950,5510,31.57485797100162,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,34,100,0.5,0.2,fixed,1000,1000,1000,1044.0,1,,4950,5466,35.85349113099983,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,35,100,0.5,0.2,fixed,1000,1000,1000,988.0,1,,4950,5478,29.154172848000602,0.0001,dual_0_once
